Date,Open,High,Low,Close,% Change NK
22/03/2010,10793.04981,11001.58984,10766.65039,10996.37012,1.59
29/03/2010,10909.98047,11313.98047,10901.2002,11286.08984,2.63
05/04/2010,11380.62988,11408.16992,11148.79981,11204.33984,-0.72
12/04/2010,11300.79004,11351.54981,11084.71973,11102.17969,-0.91
19/04/2010,10929.63965,11093.29981,10865.91992,10914.45996,-1.69
26/04/2010,11039.58984,11213.4502,10882.40039,11057.40039,1.31
03/05/2010,10847.90039,10847.90039,10257.32031,10364.58984,-6.27
10/05/2010,10399.04981,10643.28027,10345.19043,10462.50977,0.94
17/05/2010,10329.37012,10336.53027,9696.629883,9784.540039,-6.48
24/05/2010,9754.990234,9824.849609,9395.290039,9762.980469,-0.22
31/05/2010,9735.469727,9962.419922,9560.160156,9901.19043,1.42
07/06/2010,9705.360352,9764.730469,9378.230469,9705.25,-1.98
14/06/2010,9824.929688,10109.86035,9819.950195,9995.019531,2.99
21/06/2010,10109.26953,10251.90039,9697.870117,9737.480469,-2.58
28/06/2010,9758.910156,9762.230469,9147.679688,9203.709961,-5.48
05/07/2010,9230,9610.589844,9091.700195,9585.320313,4.15
12/07/2010,9540.469727,9807.360352,9392.209961,9408.360352,-1.85
19/07/2010,9267.240234,9474.110352,9176.120117,9430.959961,0.24
26/07/2010,9520.730469,9760.30957,9487.650391,9537.299805,1.13
02/08/2010,9574.639648,9750.879883,9474.669922,9642.120117,1.10
09/08/2010,9535.509766,9667.040039,9065.94043,9253.459961,-4.03
16/08/2010,9145.219727,9362.679688,9084.240234,9179.379883,-0.80
23/08/2010,9147.240234,9171.419922,8807.410156,8991.05957,-2.05
30/08/2010,9141.450195,9280.700195,8796.450195,9114.129883,1.37
06/09/2010,9199.990234,9311.019531,8997.629883,9239.169922,1.37
13/09/2010,9325.639648,9643.280273,9199.080078,9626.089844,4.19
20/09/2010,9700.879883,9704.25,9415.959961,9471.669922,-1.60
27/09/2010,9557.370117,9613.469727,9358.620117,9404.230469,-0.71
04/10/2010,9410.919922,9716.919922,9332.19043,9588.879883,1.96
11/10/2010,9648.589844,9650.200195,9387.730469,9500.25,-0.92
18/10/2010,9517.679688,9575.139648,9316.969727,9426.709961,-0.77
25/10/2010,9424.44043,9460.700195,9179.150391,9202.450195,-2.38
01/11/2010,9166.849609,9680.679688,9123.620117,9625.990234,4.60
08/11/2010,9699.790039,9885.370117,9659.860352,9724.80957,1.03
15/11/2010,9782.110352,10130.23047,9693.209961,10022.38965,3.06
22/11/2010,10133.48047,10157.96973,9904.919922,10039.55957,0.17
29/11/2010,10075.66016,10254,9918.549805,10178.32031,1.38
06/12/2010,10175.23047,10373.7002,10094.41016,10211.9502,0.33
13/12/2010,10212.51953,10347.38965,10199.73047,10303.83008,0.90
20/12/2010,10296.54981,10394.21973,10182.74023,10279.19043,-0.24
27/12/2010,10292.83984,10376.91016,10209.92969,10228.91992,-0.49
03/01/2011,10352.19043,10550.70996,10321.28027,10541.04004,3.05
10/01/2011,10484.62012,10620.57031,10476.29004,10499.04004,-0.40
17/01/2011,10562.08984,10580.67969,10257.99023,10274.51953,-2.14
24/01/2011,10318.59961,10496.40039,10278.80957,10360.33984,0.84
31/01/2011,10219.98047,10580.36035,10182.57031,10543.51953,1.77
07/02/2011,10641.29981,10701.91992,10570.62012,10605.65039,0.59
14/02/2011,10689.65039,10891.59961,10674.44043,10842.79981,2.24
21/02/2011,10820.78027,10859.38965,10428.37988,10526.75977,-2.91
28/02/2011,10504.54004,10768.42969,10448.83008,10693.66016,1.59
07/03/2011,10626.96973,10662.07031,10254.42969,10254.42969,-4.11
14/03/2011,10044.16992,10049.91992,8227.629883,9206.75,-10.22
21/03/2011,9403.049805,9625.030273,9387.950195,9536.129883,3.58
28/03/2011,9541.759766,9822.05957,9317.379883,9708.389648,1.81
04/04/2011,9773.910156,9808.599609,9536.679688,9768.080078,0.61
11/04/2011,9731.320313,9775.599609,9513.269531,9591.519531,-1.81
18/04/2011,9593.410156,9732.629883,9405.19043,9682.209961,0.95
25/04/2011,9705.900391,9849.740234,9536.509766,9849.740234,1.73
02/05/2011,9964.389648,10017.46973,9782.660156,9859.200195,0.10
09/05/2011,9881.669922,9929.040039,9552.929688,9648.769531,-2.13
16/05/2011,9571.129883,9731.120117,9502.389648,9607.080078,-0.43
23/05/2011,9547.860352,9588.700195,9406.040039,9521.94043,-0.89
30/05/2011,9489.780273,9720.730469,9448,9492.209961,-0.31
06/06/2011,9467.370117,9613.75,9358.30957,9514.44043,0.23
13/06/2011,9405.160156,9599.900391,9318.620117,9351.400391,-1.71
20/06/2011,9383.240234,9695.089844,9346.759766,9678.709961,3.50
27/06/2011,9633.919922,9900.570313,9570.580078,9868.070313,1.96
04/07/2011,9980.160156,10207.91016,9940.469727,10137.73047,2.73
11/07/2011,10069.00977,10109.29981,9884,9974.469727,-1.61
18/07/2011,9921.5,10149.17969,9889.719727,10132.11035,1.58
25/07/2011,10080.82031,10130.25,9824.339844,9833.030273,-2.95
01/08/2011,9907.040039,10040.12988,9264.089844,9299.879883,-5.42
08/08/2011,9169.669922,9215.089844,8656.790039,8963.719727,-3.61
15/08/2011,9082.530273,9150.30957,8707.469727,8719.240234,-2.73
22/08/2011,8686.910156,8849.94043,8619.209961,8797.780273,0.90
29/08/2011,8802.25,9098.150391,8751.290039,8950.740234,1.74
05/09/2011,8828.459961,8876.490234,8588.339844,8737.660156,-2.38
12/09/2011,8578.709961,8864.160156,8499.339844,8864.160156,1.45
19/09/2011,8763.610352,8771.719727,8545.459961,8560.259766,-3.43
26/09/2011,8547.620117,8756,8359.700195,8700.290039,1.64
03/10/2011,8567.980469,8663.570313,8343.009766,8605.620117,-1.09
10/10/2011,8733.540039,8854.160156,8689.379883,8747.959961,1.65
17/10/2011,8881.44043,8911.700195,8652.259766,8678.889648,-0.79
24/10/2011,8764.919922,9086.429688,8642.55957,9050.469727,4.28
31/10/2011,9011.179688,9152.389648,8640.419922,8801.400391,-2.75
07/11/2011,8771.820313,8779.549805,8485.769531,8514.469727,-3.26
14/11/2011,8631.280273,8655.30957,8359.599609,8374.910156,-1.64
21/11/2011,8349.049805,8375.599609,8135.790039,8160.009766,-2.57
28/11/2011,8269.910156,8653.879883,8259.709961,8643.75,5.93
05/12/2011,8697.780273,8729.80957,8503.030273,8536.459961,-1.24
12/12/2011,8652.980469,8682.469727,8374.25,8401.719727,-1.58
19/12/2011,8363.389648,8471.110352,8272.259766,8395.160156,-0.08
26/12/2011,8504.459961,8516.530273,8330.870117,8455.349609,0.72
02/01/2012,8549.540039,8581.450195,8349.330078,8390.349609,-0.77
09/01/2012,8422.990234,8509.759766,8360.330078,8500.019531,1.31
16/01/2012,8409.790039,8791.389648,8352.230469,8766.360352,3.13
23/01/2012,8753.910156,8911.620117,8744.540039,8841.219727,0.85
30/01/2012,8803.790039,8893.219727,8774.230469,8831.929688,-0.11
06/02/2012,8939.990234,9018.490234,8887.19043,8947.169922,1.30
13/02/2012,8954.030273,9435.030273,8948.540039,9384.169922,4.88
20/02/2012,9534.030273,9647.379883,9440.410156,9647.379883,2.80
27/02/2012,9726.200195,9866.410156,9528.769531,9777.030273,1.34
05/03/2012,9756.980469,10007.62012,9509.099609,9929.740234,1.56
12/03/2012,10015.91992,10158.74023,9888.299805,10129.83008,2.02
19/03/2012,10150.84961,10172.63965,9999.370117,10011.46973,-1.17
26/03/2012,10040.09961,10255.15039,10016.04981,10083.55957,0.72
02/04/2012,10161.71973,10190.34961,9659.160156,9688.450195,-3.92
09/04/2012,9565.30957,9690.290039,9388.139648,9637.990234,-0.52
16/04/2012,9522.700195,9682.879883,9455.320313,9561.360352,-0.80
23/04/2012,9599.200195,9691.700195,9423.299805,9520.889648,-0.42
30/04/2012,9471.660156,9472.25,9332.790039,9380.25,-1.48
07/05/2012,9198.169922,9207.55957,8944.629883,8953.30957,-4.55
14/05/2012,8986.219727,9031.089844,8588.160156,8611.30957,-3.82
21/05/2012,8617.919922,8740.480469,8496.610352,8580.389648,-0.36
28/05/2012,8604.990234,8657.080078,8422.5,8440.25,-1.63
04/06/2012,8278.650391,8647.790039,8238.959961,8459.259766,0.23
11/06/2012,8612.139648,8665.799805,8452.5,8569.320313,1.30
18/06/2012,8723.549805,8859.040039,8630.660156,8798.349609,2.67
25/06/2012,8837.830078,9044.040039,8619.360352,9006.780273,2.37
02/07/2012,9103.790039,9136.019531,8977.349609,9020.75,0.16
09/07/2012,8922.990234,8966.990234,8695.44043,8724.120117,-3.29
16/07/2012,8740.980469,8835.799805,8662.719727,8669.870117,-0.62
23/07/2012,8582.280273,8606.230469,8328.019531,8566.639648,-1.19
30/07/2012,8658.830078,8732.839844,8513.200195,8555.110352,-0.13
06/08/2012,8683.200195,9004.80957,8676.25,8891.44043,3.93
13/08/2012,8871.679688,9181.570313,8866.05957,9162.5,3.05
20/08/2012,9202.360352,9222.870117,9045.790039,9070.759766,-1.00
27/08/2012,9140.410156,9150.480469,8839.910156,8839.910156,-2.54
03/09/2012,8836.610352,8893.389648,8646.030273,8871.650391,0.36
10/09/2012,8853.19043,9193.269531,8769.469727,9159.389648,3.24
17/09/2012,9155.490234,9288.530273,9079.19043,9110,-0.54
24/09/2012,9071.320313,9112.540039,8838.849609,8870.160156,-2.63
01/10/2012,8815.070313,8880.230469,8729.55957,8863.299805,-0.08
08/10/2012,8822.389648,8840.69043,8514.629883,8534.120117,-3.71
15/10/2012,8517.769531,9016.900391,8488.139648,9002.679688,5.49
22/10/2012,8874.519531,9075.589844,8867.790039,8933.05957,-0.77
29/10/2012,8958.790039,9072.389648,8841.980469,9051.219727,1.32
05/11/2012,9000.80957,9040.179688,8729.450195,8757.599609,-3.24
12/11/2012,8701.280273,9032.349609,8619.450195,9024.160156,3.04
19/11/2012,9141.269531,9366.799805,9129.429688,9366.799805,3.80
26/11/2012,9466.05957,9492.910156,9308.349609,9446.009766,0.85
03/12/2012,9484.200195,9572.75,9376.969727,9527.389648,0.86
10/12/2012,9584.459961,9775.75,9487.950195,9737.55957,2.21
17/12/2012,9895.679688,10175.05957,9826.299805,9940.05957,2.08
24/12/2012,10092.34961,10433.62988,10030.44043,10395.17969,4.58
31/12/2012,10604.5,10734.23047,10602.24023,10688.11035,2.82
07/01/2013,10743.69043,10830.42969,10398.61035,10801.57031,1.06
14/01/2013,10914.65039,10952.30957,10432.96973,10913.29981,1.03
21/01/2013,10941.4502,10941.4502,10441.11035,10926.65039,0.12
28/01/2013,11002.86035,11237.83984,10751.00977,11191.33984,2.42
04/02/2013,11254.16016,11498.41992,11046.91992,11153.16016,-0.34
11/02/2013,11346.71973,11460.63965,11065.05957,11173.83008,0.19
18/02/2013,11318.21973,11510.51953,11175.66992,11385.94043,1.90
25/02/2013,11564.54981,11662.51953,11253.96973,11606.37988,1.94
04/03/2013,11695.4502,12283.62012,11613.58984,12283.62012,5.84
11/03/2013,12363.08984,12560.9502,12234.48047,12560.9502,2.26
18/03/2013,12365.44043,12650.25977,12220.62988,12338.53027,-1.77
25/03/2013,12507.61035,12594.36035,12286.37012,12397.91016,0.48
01/04/2013,12371.33984,13225.62012,11805.78027,12833.63965,3.51
08/04/2013,13082.61035,13568.25,13080.29004,13485.13965,5.08
15/04/2013,13345.86035,13408.29004,13004.45996,13316.48047,-1.25
22/04/2013,13537.16992,13983.87012,13505.53027,13884.12988,4.26
29/04/2013,13854.82031,13897.05957,13637.95996,13694.04004,-1.37
06/05/2013,13960.04004,14636.80957,13951.80957,14607.54004,6.67
13/05/2013,14759.5,15157.32031,14727.7002,15138.12012,3.63
20/05/2013,15260.61035,15942.59961,13981.51953,14612.4502,-3.47
27/05/2013,14373.82031,14512.28027,13555.66016,13774.54004,-5.73
03/06/2013,13551.36035,13711.41992,12548.2002,12877.53027,-6.51
10/06/2013,13141.84961,13584.30957,12415.84961,12686.51953,-1.48
17/06/2013,12584.37012,13330.34961,12549.82031,13230.12988,4.28
24/06/2013,13417.54004,13724.44043,12758.21973,13677.32031,3.38
01/07/2013,13746.71973,14309.96973,13562.7002,14309.96973,4.63
08/07/2013,14491.07031,14574.16992,14109.33984,14506.25,1.37
15/07/2013,14594.87988,14953.29004,14413.28027,14589.91016,0.58
22/07/2013,14770.01953,14820.17969,14114.51953,14129.98047,-3.15
29/07/2013,13899.26953,14466.16016,13613.78027,14466.16016,2.38
05/08/2013,14318.20996,14401.05957,13527.80957,13615.19043,-5.88
12/08/2013,13469.7002,14050.16016,13430.63965,13650.11035,0.26
19/08/2013,13669.74023,13774.66016,13238.73047,13660.54981,0.08
26/08/2013,13719.55957,13741.49023,13188.13965,13388.86035,-1.99
02/09/2013,13438.07031,14156.5,13407.53027,13860.80957,3.52
09/09/2013,14141.66992,14561.45996,14117.67969,14404.66992,3.92
16/09/2013,14456.99023,14816.65039,14311.66992,14742.41992,2.34
23/09/2013,14742.41992,14817.5,14410.51953,14760.07031,0.12
30/09/2013,14530.62012,14642.96973,13944.26953,14024.30957,-4.98
07/10/2013,14057.79004,14447.87012,13748.94043,14404.74023,2.71
14/10/2013,14404.74023,14664.21973,14404.74023,14561.54004,1.09
21/10/2013,14624.03027,14799.28027,14088.19043,14088.19043,-3.25
28/10/2013,14261.65039,14526.87988,14126.41016,14201.57031,0.80
04/11/2013,14319.75,14407.69043,14026.16992,14086.79981,-0.81
11/11/2013,14271.48047,15203.11035,14208.12988,15165.91992,7.66
18/11/2013,15253.24023,15579.38965,15020.33008,15381.71973,1.42
25/11/2013,15504.78027,15729.08984,15414.51953,15661.87012,1.82
02/12/2013,15659.74023,15794.15039,15112.54004,15299.86035,-2.31
09/12/2013,15556.59961,15650.20996,15251.4502,15403.11035,0.67
16/12/2013,15408.34961,15891.82031,15146.12988,15870.41992,3.03
23/12/2013,15870.41992,16232.69043,15849,16178.94043,1.94
30/12/2013,16269.21973,16320.21973,16182.70996,16291.30957,0.69
06/01/2014,16147.54004,16164.00977,15754.7002,15912.05957,-2.33
13/01/2014,15912.05957,15941.08008,15383.69043,15734.45996,-1.12
20/01/2014,15724.13965,15958.58008,15288.32031,15391.55957,-2.18
27/01/2014,15091.4502,15383.91016,14764.57031,14914.53027,-3.10
03/02/2014,14788.55957,14846.92969,13995.86035,14462.41016,-3.03
10/02/2014,14647.83008,14874.79004,14243.16992,14313.03027,-1.03
17/02/2014,14343.73047,14900.24023,14214.59961,14865.66992,3.86
24/02/2014,14803.63965,15094.54004,14658.13965,14841.07031,-0.17
03/03/2014,14666.92969,15312.59961,14443.09961,15274.07031,2.92
10/03/2014,15197.53027,15266.12012,14280.75,14327.66016,-6.20
17/03/2014,14254.32031,14663.54004,14203.20996,14224.23047,-0.72
24/03/2014,14297.58008,14713.4502,14227.80957,14696.03027,3.32
31/03/2014,14839.54004,15164.38965,14718.00977,15063.76953,2.50
07/04/2014,14880.82031,14895.58008,13885.11035,13960.04981,-7.33
14/04/2014,13887.23047,14536.66992,13885.21973,14516.26953,3.98
21/04/2014,14549.4502,14649.5,14327.59961,14429.25977,-0.60
28/04/2014,14289.82031,14493.03027,14224.46973,14457.50977,0.20
05/05/2014,14457.50977,14457.50977,14033.4502,14199.58984,-1.78
12/05/2014,14173.49023,14464.00977,14016.49023,14096.58984,-0.73
19/05/2014,14130.08984,14528.04004,13964.42969,14462.16992,2.59
26/05/2014,14592.59961,14744.16016,14531.32031,14632.37988,1.18
02/06/2014,14777.50977,15144.33984,14777.50977,15077.24023,3.04
09/06/2014,15204.30957,15206.57031,14830.99023,15097.83984,0.14
16/06/2014,15049.61035,15422.05957,14867.15039,15349.41992,1.67
23/06/2014,15419.46973,15442.66992,15027.30957,15095,-1.66
30/06/2014,15159.4502,15490.37012,15052.33984,15437.12988,2.27
07/07/2014,15433.49023,15477.76953,15101.49023,15164.04004,-1.77
14/07/2014,15199.17969,15465.74023,15110.4502,15215.70996,0.34
21/07/2014,15215.70996,15457.87012,15215.70996,15457.87012,1.59
28/07/2014,15426.98047,15759.66016,15426.98047,15523.11035,0.42
04/08/2014,15474.65039,15535.62012,14753.83984,14778.37012,-4.80
11/08/2014,15022.63965,15338.84961,14973.70996,15318.33984,3.65
18/08/2014,15318.5,15628.78027,15303.38965,15539.19043,1.44
25/08/2014,15609.42969,15628.61035,15356,15424.58984,-0.74
01/09/2014,15454.58984,15829.37988,15440.99023,15668.67969,1.58
08/09/2014,15718.12988,15984.90039,15656.40039,15948.29004,1.78
15/09/2014,15948.29004,16364.08008,15871.12012,16321.16992,2.34
22/09/2014,16281.36035,16374.13965,16087.9502,16229.86035,-0.56
29/09/2014,16339.03027,16344.32031,15559.07031,15708.65039,-3.21
06/10/2014,15882.28027,15970.65039,15221.83008,15300.54981,-2.60
13/10/2014,15300.54981,15300.54981,14529.03027,14532.50977,-5.02
20/10/2014,14822.83984,15377.04981,14761.83984,15291.63965,5.22
27/10/2014,15404.28027,16533.91016,15263.36035,16413.75977,7.34
03/11/2014,16732.84961,17127.66016,16720.99023,16880.38086,2.84
10/11/2014,16758.26953,17520.53906,16713.36914,17490.83008,3.62
17/11/2014,17381.38086,17472.57031,16907.42969,17357.50977,-0.76
24/11/2014,17357.50977,17490.39063,17212.48047,17459.84961,0.59
01/12/2014,17475.09961,17922.28906,17474.26953,17920.44922,2.64
08/12/2014,18004.66016,18030.83008,17043.63086,17371.58008,-3.06
15/12/2014,17111.49023,17621.40039,16672.93945,17621.40039,1.44
22/12/2014,17685.5293,17875.41016,17572.61914,17818.96094,1.12
29/12/2014,17914.55078,17914.55078,17450.76953,17450.76953,-2.07
05/01/2015,17325.67969,17540.91992,16808.25977,17197.73047,-1.45
12/01/2015,16970.88086,17141.98047,16592.57031,16864.16016,-1.94
19/01/2015,17000.7793,17532.06055,16911.58008,17511.75,3.84
26/01/2015,17285.71094,17850.58984,17285.71094,17674.39063,0.93
02/02/2015,17536.60938,17743.10938,17271.86914,17648.5,-0.15
09/02/2015,17790.31055,18005.44922,17550.0293,17913.35938,1.50
16/02/2015,18024.00977,18360.91992,17901.25977,18332.30078,2.34
23/02/2015,18499.58008,18865.39063,18402.01953,18797.93945,2.54
02/03/2015,18869.40039,18979.64063,18586.83984,18971,0.92
09/03/2015,18872.96094,19335.80078,18577.06055,19254.25,1.49
16/03/2015,19245.38086,19565.43945,19226.71094,19560.2207,1.59
23/03/2015,19607.98047,19778.59961,19099.86914,19285.63086,-1.40
